"nLayers","nNodes","MSE"
19,59,79.1913984854415
19,60,75.0270009596877
20,1,75.0270009596877
20,2,75.0270009596877
20,3,75.0270009596877
20,4,1703.84766483893
20,5,1703.84766483893
20,6,90.5268902159011
20,7,107.665540905437
20,8,107.665540905437
20,9,106.509431830033
20,10,75.2785569916624
20,11,77.8131840664853
20,12,80.6714732514015
20,13,108.765046288619
20,14,107.196023691067
20,15,84.0463216238257
20,16,96.7466596285991
20,17,112.727536793362
20,18,108.59056489793
20,19,90.9476298055934
20,20,83.2060355714221
20,21,107.009846773719
20,22,81.4289311620425
20,23,109.695980344572
20,24,78.3499970703849
20,25,91.1926835384691
20,26,100.3089749086
20,27,77.952806709902
20,28,80.4605662184125
20,29,79.3938042478696
20,30,86.0281846494982
20,31,77.9306034977348
20,32,104.080372130954
20,33,111.864561228461
20,34,84.4201837810091
20,35,83.5673120260509
20,36,85.4900852938925
